,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mid-Way Through 2018-19 Season,Mid-Way Through 2018-19 Season,,,,,,,,,,,,,,,,,,,,
Step,League,"2021-22
Position",2021-22 Promoted,"2022-23
5,Midland Football League Premier Div.,5,1,1,2,Dudley Town ,,,,,,,,,,,,,"4,476",,"4,619","4,837","4,920",361,,,,
5,North West Counties League Premier Div.,5,1,1,2,Wythenshawe Amateurs,,,"2,113","2,668","2,801","3,238",,,"3,421",,"4,170",,"4,561",,"4,834","5,096","5,210",535,,,,
5,North West Counties League Premier Div.,6,1,1,2,Pilkington,,,"2,490","3,092","3,128","3,290",,,"3,452",,"4,095",,"4,530",,"4,773","5,106","5,215",576,,,,
5,North West Counties League Premier Div.,7,1,5,2,Cheadle Town,,,"4,707","5,377","5,386","5,593",,,"5,776",,"6,221",,"6,525",,"6,757","7,056","7,121",531,,,,
5,North West Counties League Premier Div.,11,1,2,2,Chadderton,,,"1,382","2,059","2,132","2,434",,,"2,683",,"3,495",,"3,896",,"4,089","4,572","4,812",676,,,,
5,Northern Counties East League Premier Div.,5,1,3,2,Rossington Main,,,"1,889","2,359","2,400","2,531",,,"2,664",,"3,137",,"3,494",,"3,588","3,842","3,948",348,,,,
5,Northern Counties East League Premier Div.,16,1,1,2,Campion,,,"2,395","2,750","2,780","2,875",,,"2,984",,"3,495",,"3,599",,"3,896","4,082","4,151",483,,,,
5,Northern League Div. One ,13,1,5,2,Birtley Town,,,"2,314","2,881","2,921","3,151",,,"3,313",,"3,964",,"4,358",,"4,831","5,219","5,335",861,,,,
5,Southern Combination League Premier Div.,5,1,1,2,Shoreham,,,"5,610","5,846","5,871","5,925",,,"6,050",,"6,321",,"6,533",,"6,657","6,787","6,822",254,,,,
5,Southern Counties East League Premier Div.,4,1,1,2,Snodland Town,,,"1,216","1,522","1,558","1,716",,,"1,772",,"2,167",,,,"2,770","2,993","3,176","2,993",,,,
5,Southern Counties East League Premier Div.,15,1,3,2,Lydd Town,,,"1,878","2,041","2,051","2,145",,,"2,188",,"2,359",,,,"2,601","2,723","2,802","2,723",,,,
5,Spartan South Midlands League Premier Div.,7,1,1,2,Real Bedford,,,0,684,693,827,,,"1,016",,"1,894",,"14,600",,"15,253","15,650","16,044","1,050",,,,
5,United Counties League Premier Div. North,4,1,2,2,Ashby Ivanhoe ,,,"2,196","2,592","2,663","2,832",,,"2,919",,"3,227",,"3,476",,"3,626","3,790","3,981",314,,,,
5,United Counties League Premier Div. North,5,1,4,2,Hucknall Town,,,"3,180","3,494","3,501","3,646",,,"3,781",,"4,275",,"4,577",,"4,915","5,295","5,411",718,,,,
5,United Counties League Premier Div. South,6,1,1,2,Aylestone Park,,,"1,443","1,663","1,675","1,830",,,"1,943",,"2,396",,"2,758",,"2,965","3,133","3,228",375,,,,
5,Wessex League Premier Div.,2,1,1,2,Andover New Streets,,,594,"1,070","1,121","1,286",,,"1,690",,"2,040",,"2,267",,"2,397","2,536","2,601",269,,,,
5,Wessex League Premier Div.,12,1,5,2,Petersfield Town,,,"2,309","2,566","2,635","2,785",,,"2,940",,"3,274",,"3,535",,"3,693","3,912","4,163",377,,,,
5,Western League Premier Div.,2,1,1,2,Brixham,,,,"1,677","1,710","1,836",,,"1,947",,"2,395",,"2,579",,"2,708","2,909","2,991",330,,,,
5,Western League Premier Div.,5,1,1,2,St Blazey,,,,"1,579","1,658","1,832",,,"2,139",,"2,667",,"3,025",,"3,259","3,462","3,587",437,,,,
