ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks
5203,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,1,0,4,(bu)(1),
-5203,-1,-1,-1,-1,-1,-1,2-Jan,5,5,5,1,-1,0,4,(bu)(1),
5222,5810.56,0.25,0.25,5,0.5,0.5,1,5,1,5,1,3,3,0,Sigma(b),uub
-5222,5810.56,0.25,0.25,5,0.5,0.5,1,5,-1,5,1,-3,3,0,Sigma(b),UUB
5224,5830.32,0.27,0.27,9.4,0.5,0.5,1,5,1,5,1,3,3,0,Sigma(b)*,uub
-5224,5830.32,0.27,0.27,9.4,0.5,0.5,1,5,-1,5,1,-3,3,0,Sigma(b)*,UUB
5232,5791.9,0.5,0.5,4.45E-10,9.00E-12,9.00E-12,2-Jan,5,1,5,1,0,3,0,Xi(b),usb
-5232,5791.9,0.5,0.5,4.45E-10,9.00E-12,9.00E-12,2-Jan,5,-1,5,1,0,3,0,Xi(b),USB
5301,-1,-1,-1,-1,-1,-1,0,5,5,5,1,-2,0,4,(bs)(0),
-5301,-1,-1,-1,-1,-1,-1,0,5,5,5,1,2,0,4,(bs)(0),
5303,-1,-1,-1,-1,-1,-1,0,5,5,5,1,-2,0,4,(bs)(1),
-5303,-1,-1,-1,-1,-1,-1,0,5,5,5,1,2,0,4,(bs)(1),
5332,6045.2,1.2,1.2,4.00E-10,5.00E-11,4.00E-11,0,5,1,5,1,-3,3,0,Omega(b),ssb
-5332,6045.2,1.2,1.2,4.00E-10,5.00E-11,4.00E-11,0,5,-1,5,1,3,3,0,Omega(b),SSB
5401,-1,-1,-1,-1,-1,-1,0,5,5,5,1,1,0,4,(bc)(0),
-5401,-1,-1,-1,-1,-1,-1,0,5,5,5,1,-1,0,4,(bc)(0),
5403,-1,-1,-1,-1,-1,-1,0,5,5,5,1,1,0,4,(bc)(1),
-5403,-1,-1,-1,-1,-1,-1,0,5,5,5,1,-1,0,4,(bc)(1),
5503,-1,-1,-1,-1,-1,-1,0,5,5,5,1,-2,0,4,(bb)(1),
